Timepoint,Environment,PCD,Species,Statistics,Sex,Reference
Female Sexual maturity is reached (sex selective),Captive client,410,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,350,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,470,Felis,2,Female,"Povey, R. C. (1978). Reproduction in the pedigreeFemale cat: A survey of breeders. The Canadian Veterinary Journal, 19(8), 207-213."
Female Sexual maturity is reached (sex selective),Captive client,374,Felis,2,Female,"Romagnoli, S., Bensaia, C., Ferré-Dolcet, L., Sontas, H. B., & Stelletta, C. (2019). Fertility parameters and reproductive management of Norwegian Forest Cats, Maine Coon, Persian and Bengal cats raised in Italy: A questionnaire-based study. Journal of Feline Medicine and Surgery, 21(12), 1188-1197."
Female Sexual maturity is reached (sex selective),Captive client,353,Felis,2,Female,"Romagnoli, S., Bensaia, C., Ferré-Dolcet, L., Sontas, H. B., & Stelletta, C. (2019). Fertility parameters and reproductive management of Norwegian Forest Cats, Maine Coon, Persian and Bengal cats raised in Italy: A questionnaire-based study. Journal of Feline Medicine and Surgery, 21(12), 1188-1197."
Female Sexual maturity is reached (sex selective),Captive client,356,Felis,2,Female,"Romagnoli, S., Bensaia, C., Ferré-Dolcet, L., Sontas, H. B., & Stelletta, C. (2019). Fertility parameters and reproductive management of Norwegian Forest Cats, Maine Coon, Persian and Bengal cats raised in Italy: A questionnaire-based study. Journal of Feline Medicine and Surgery, 21(12), 1188-1197."
Female Sexual maturity is reached (sex selective),Captive client,569,Felis,2,Female,"Romagnoli, S., Bensaia, C., Ferré-Dolcet, L., Sontas, H. B., & Stelletta, C. (2019). Fertility parameters and reproductive management of Norwegian Forest Cats, Maine Coon, Persian and Bengal cats raised in Italy: A questionnaire-based study. Journal of Feline Medicine and Surgery, 21(12), 1188-1197."
MALE body growth rate (peak) (sex specific),Captive Laboratory,157.4,Felis,2,Male,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
MALE body growth rate (peak) (sex specific),Captive Laboratory,140,Felis,2,Male,"Opsomer H, Liesegang A, Brugger D, Wichert B. Growth curves and body condition of young cats and their relation to maternal body condition. Animals. 2022 May 27;12(11):1373."
Male Body weight reaches 100% of stable value (sex selective),Captive client,742.531,Felis,2,Male,Auburn veterinary clinic
